\"	\ddot
\'	\acute
\.	\dot
\=	\bar
\And	\&
\Complex	\cnums
\Downarrow	\Darr
\Leftarrow	\Larr
\Leftrightarrow	\Harr
\Lrarr	\Harr
\Reals	\R
\Rightarrow	\Rarr
\Vert	\|
\^	\hat
\`	\grave
\alef	\aleph
\alefsym	\aleph
\dArr	\Darr
\dagger	\dag
\ddagger	\ddag
\doublecap	\Cap
\doublecup	\Cup
\downarrow	\darr
\emptyset	\empty
\gets	\larr
\gt	>
\hArr	\Harr
\infty	\infin
\image	\Im
\isin	\in
\lArr	\Larr
\ldots	\dots
\lVert	\|
\lbrace	\{
\lbrack	[
\leftarrow	\larr
\leftrightarrow	\harr
\lparen	(
\lrArr	\Harr
\lrarr	\harr
\lt	<
\lvert	|
\natnums	\N
\operatornamewithlimits	\operatorname*
\r	\mathring
\rArr	\Rarr
\rVert	\|
\rbrace	\}
\rbrack	]
\real	\Re
\reals	\R
\rightarrow	\rarr
\rparen	)
\rvert	|
\to	\rarr
\u	\breve
\uArr	\Uarr
\v	\check
\weierp	\wp
\~	\tilde
\vert	|
⌈	\lceil
⌉	\rceil
⌊	\lfloor
⌋	\rfloor
⎰	\lmoustache
⎱	\rmoustache
┌	\ulcorner
┐	\urcorner
└	\llcorner
┘	\lrcorner
⟦	\llbracket
⟧	\rrbracket
⟨	\langle
⟩	\rangle
⟮	\lgroup
⟯	\rgroup
